"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HERVL18_6q14.1",1.43039096555285,4.39493715250601,0.757144930220264,45.171720172973,1.8049273016e-11,2.24958488848423e-10
"ERV316A3_5q21.1a",1.86206633001017,2.28691255303921,0.359345521122264,44.8749851257923,2.10023837308021e-11,2.60042672245853e-10
"ERV316A3_6p21.2a",1.40578301457939,2.41490175427782,0.387084596494488,44.5249299353314,2.51138848998935e-11,3.0691124273766e-10
"HERVL18_2q31.1",1.11853214730081,3.16832856146766,0.509045985681294,44.2661790301088,2.86625660460093e-11,3.48019027732835e-10
"HERVH_10q23.32",127.738804367419,-3.60068196235481,0.441919095720117,44.2109028083148,2.94834568368422e-11,3.54555052823878e-10
"LTR25_15q21.1a",1.3784873197999,2.87298303477796,0.460443038235471,44.2125335771161,2.94589051603568e-11,3.54555052823878e-10
"HERVL_12p11.23",3.20074276711019,4.9319618537957,0.787878383921022,44.1508142918775,3.04025298908273e-11,3.63286103203409e-10
"HERVL_9p21.3a",2.77823392767659,2.63990875287721,0.418337634221684,43.9647604303009,3.34341472350327e-11,3.93269156852072e-10
"PABLA_Xp22.2",1.50950283718011,2.85782733189935,0.461381079515976,43.7800692909602,3.67427763922994e-11,4.30840530656121e-10
"HERVL_2q22.3a",3.02382479551388,3.09295281121958,0.490643517261615,43.3531211369736,4.5700670082505e-11,5.30917661081941e-10
"HERVH_14q32.31c",6.19909198984133,2.63868082667084,0.42334073233052,43.3189016011976,4.65069205116607e-11,5.3862168863351e-10
"PABLA_4q22.1",2.31568448388679,2.21276522945171,0.351288517079549,43.1720208034253,5.01324755481863e-11,5.78830177801759e-10
"HML3_9q34.13",1.64969115678905,2.91345234485709,0.46655057288935,42.9712718870715,5.55496076912062e-11,6.37465619968598e-10
"MER101_16p11.2c",7.21963175080828,5.74557897793166,0.91471031511751,42.8628786628743,5.87142772515319e-11,6.71734162841234e-10
"ERVLB4_6q23.2a",2.42661289540305,2.96142638367328,0.481404805722878,42.5893024962871,6.75276876912467e-11,7.67897934954237e-10
"MER4B_19q13.42a",2.6198484661071,2.77950190492225,0.45319139177363,42.5811889971387,6.78083734478882e-11,7.68767221860997e-10
"PABLA_8p21.3a",1.72338183555902,3.69377126103664,0.626912236383067,42.476562296468,7.15343024047849e-11,8.08573916671502e-10
"PRIMA4_8p22",6.736651647313,2.08710511296302,0.338925327265725,42.4290167702884,7.32945396864343e-11,8.25989962214787e-10
"HERVKC4_6p21.33b",3.09642152584758,5.72908566371295,0.989729598876013,42.1845089147773,8.30553263103241e-11,9.3319477084197e-10
"PABLA_6p21.2",1.0984683150824,2.29704976078682,0.375728619964918,42.0605915981874,8.84886058218164e-11,9.82510655791495e-10
"HERVKC4_6p21.33a",37.5030588378674,26.9044455969854,1.25219656614676,41.9522436709443,9.35300026454805e-11,1.03543214693408e-09
"HARLEQUIN_1p13.2b",1.03065565310864,2.60779431335172,0.43564195006814,41.8992936857111,9.60973445486077e-11,1.0607343251641e-09
"HERVIP10F_1q44",1.30842370517144,2.83046934661059,0.471254050945657,41.8118548050008,1.00492273274826e-10,1.10277818252608e-09
"HERVL_4p15.2c",1.59822520243289,4.39482101003878,0.775550171031419,41.7713854827735,1.02593941508911e-10,1.1193147705494e-09
"MER61_Xq25a",4.2997069761827,2.01206127649574,0.327196220761052,41.7744978749167,1.02430757401489e-10,1.1193147705494e-09
"HERVW_17q22",1.21136135301533,3.82736575532994,0.674069343050694,41.5645248260921,1.14044022641956e-10,1.23351063570208e-09
"HERVL_Xq24c",1.38907109222004,3.61682279058184,0.618440206967605,41.3705578086333,1.25940005222731e-10,1.35827558641363e-09
"HERVL40_6q22.32",2.16566413758913,2.23586006280994,0.362470872160162,41.2290392369845,1.35396003404534e-10,1.45608730518476e-09
"LTR25_11p14.1",6.38372244892297,2.00898648053104,0.32721493401382,41.1463613260888,1.41245961976949e-10,1.51036875250351e-09
"HERVW_6q27b",1.63449948369629,2.31333988562406,0.378241348292399,40.9386901645183,1.57080410054989e-10,1.670199614257e-09
"HERVIP10FH_1q23.1",3.77912521243651,2.93094246792507,0.487226388944366,40.6501955653818,1.82069021409888e-10,1.91962968231601e-09
"HERVH_9p21.3b",2.98384526617689,5.56121483475831,0.97877806517513,40.5800242234969,1.88726202785652e-10,1.97323729801443e-09
"HERV4_17p13.1",1.65211282289271,3.75975636815309,0.656634625860452,40.2979281462239,2.18040084777623e-10,2.26713502514633e-09
"HERVW_10q23.33",3.43586236334614,5.87198202164195,1.03232885147859,40.1778189919605,2.31866005489175e-10,2.39764737544301e-09
"ERVLB4_8q21.13c",1.49699081467124,3.43005624480446,0.601367417727161,40.0837838050885,2.43300337835183e-10,2.50899307290857e-09
"PRIMA4_18q23b",2.05275888072458,2.17731252627813,0.359849261158743,40.061328461509,2.46113298403211e-10,2.53106681745816e-09
"MER41_Xp11.4a",3.68672037439026,5.9752895409287,1.04696700096681,40.0452350845016,2.48149307914453e-10,2.54505175746595e-09
"ERVLB4_15q13.2c",2.00874767157571,3.17660991877079,0.531257496998651,39.9306710466905,2.63138649841452e-10,2.67690237298169e-09
"HERVH_6q22.33",0.885697779280364,3.73402999233316,0.702988130582241,39.8586764140107,2.73018698100179e-10,2.76992555161475e-09
"ERV316A3_7q36.1a",0.952154554348778,2.91797336841974,0.514844947458446,39.833832166078,2.76513647768604e-10,2.79784239301351e-09
"HARLEQUIN_4q22.1a",1.42363449047002,2.78115174926813,0.469190884304497,39.7824727071952,2.8388125695201e-10,2.85702954857584e-09
"HERVI_16p13.13",1.45393790199904,2.05472369183098,0.34257367735982,39.610096616261,3.10076046454451e-10,3.09582556725346e-09
"HERVH_5q35.1b",2.08831738695404,2.68545528482391,0.459463784039334,39.3837597438362,3.48180754770645e-10,3.44882200251765e-09
"MER34B_1q23.3b",17.3687897165332,2.70190442898779,0.45607836016614,39.3534256984123,3.5363190995689e-10,3.49362338340613e-09
"HERVH_20p11.23a",1.72504243968122,2.42555951956771,0.412522446043435,39.2969936901451,3.64001329123938e-10,3.57728721363578e-09
"HERVH_3q25.1",1.23337816370474,2.23710080063668,0.38037632846963,39.0311559957481,4.17095702244015e-10,4.07778759284798e-09
"MER34B_10q25.3b",1.25507791507857,3.24710881180844,0.563943658544996,39.0224380335069,4.18962437208204e-10,4.08542646023752e-09
"HERVH_2q33.3a",2.36073481175523,2.61132126857818,0.446213201628746,38.8660434100835,4.53908027984205e-10,4.40337581786739e-09
"HUERSP3_7q31.1",0.948762682726553,3.37274690703141,0.605687085854909,38.8428505119957,4.59333172692078e-10,4.44455028795111e-09
"HERVL_9p24.1a",1.5930361297967,2.16669026096592,0.369271907320886,38.7594812320119,4.79376081021052e-10,4.62659376657241e-09
"MER4B_12p13.31c",14.004470689244,2.47345406881846,0.420890523762432,38.6164417590528,5.15825572466359e-10,4.96564566435646e-09
"ERVLE_6q23.2d",10.4213675927998,3.1001657087195,0.527003095954065,38.5864402115844,5.23815812897251e-10,5.01690259477164e-09
"MER4B_9q31.1a",1.14096921586242,3.98382347503428,0.748568688080673,38.5894730073377,5.23002497357133e-10,5.01690259477164e-09
"MER4_10p12.33",1.46227950254019,3.91402086843951,0.718222639571728,38.4666155149366,5.56983538720155e-10,5.30755959428523e-09
"HERVL74_19q13.41a",1.34812650505057,2.6098648680914,0.440777197180412,38.4694804301789,5.56166502468574e-10,5.30755959428523e-09
"HERVFRD_13q31.1",1.34237288981039,3.13967704033054,0.54666378268551,38.4396372264685,5.64736574808604e-10,5.36784966560501e-09
"MER101_Xq23a",1.25775429779283,3.15655903017604,0.565636378761479,38.359371077551,5.88448347685438e-10,5.57914252062466e-09
"ERVLE_8q21.3g",2.48988982149224,3.01893652922844,0.512487173542356,38.3413089162138,5.93920097221224e-10,5.61687247723791e-09
"HARLEQUIN_4q13.2b",0.938919971237438,3.79212455046266,0.724504743114434,38.3268260781843,5.98344302777253e-10,5.6445312171769e-09
"MER4_3q29d",3.0504682884916,5.70178660955956,1.03717105790935,38.3107972250893,6.03279261187285e-10,5.67685784777235e-09
"ERV316A3_15q24.1a",0.525551341757472,2.64237722428443,0.500653257694184,38.2863708435097,6.10878128032552e-10,5.73402811450007e-09
"ERVLE_12p13.2a",1.29443711692906,2.48793326109668,0.424698549866482,38.2421281596464,6.24886512740201e-10,5.85092744764705e-09
"MER4_14q32.2",1.56900202246539,3.62729924448916,0.634525022138843,38.0510529140577,6.89175101792463e-10,6.42092842363077e-09
"HML3_8q11.23c",2.35919005916169,2.08734698539806,0.352378348911708,38.0366770691102,6.94271716437961e-10,6.45244133499379e-09
"HERVK11_8p23.1a",2.09940799714284,2.39846985790268,0.410023029215078,37.9299076743615,7.33324122383626e-10,6.78189679767069e-09
"HML5_2q37.1",8.27890557735181,2.4238734095188,0.417160531738967,37.8526449273402,7.62948755197588e-10,7.02136702827316e-09
"ERVLE_6q21c",1.50366808633936,2.73744237068365,0.47614504813629,37.7865452452483,7.89242420141e-10,7.23916716670482e-09
"ERVLE_3p21.31g",1.45222789694127,3.23480327874749,0.567068167497706,37.7574305881413,8.01109883756888e-10,7.30115642242355e-09
"HERVP71A_10q11.22",1.81580317240228,3.35187373305983,0.590543250432679,37.7100220193049,8.20817687728513e-10,7.44471753400029e-09
